depth,latitude,depth_span,lat_span,no3,chl
1.55561117,17.5,1.07582156,0.5,0.001317833,0.06978648
1.55561117,18,1.07582156,0.5,0.000984796,0.06789943
1.55561117,18.5,1.07582156,0.5,0.001680704,0.069730915
1.55561117,19,1.07582156,0.5,0.001544011,0.068702035
1.55561117,19.5,1.07582156,0.5,0.001280115,0.05973877
1.55561117,20,1.07582156,0.5,0.000903732,0.05511639
1.55561117,20.5,1.07582156,0.5,0.000833512,0.05024728
1.55561117,21,1.07582156,0.5,0.000841685,0.047946278
1.55561117,21.5,1.07582156,0.5,0.000849999,0.046981804
1.55561117,22,1.07582156,0.5,0.000864135,0.045586366
1.55561117,22.5,1.07582156,0.5,0.000832113,0.045361634
1.55561117,23,1.07582156,0.5,0.000810546,0.045360222
1.55561117,23.5,1.07582156,0.5,0.000818505,0.045803227
1.55561117,24,1.07582156,0.5,0.000814999,0.046164703
1.55561117,24.5,1.07582156,0.5,0.000824412,0.046546556
1.55561117,25,1.07582156,0.5,0.000841303,0.04654915
1.55561117,25.5,1.07582156,0.5,0.000862266,0.046875857
1.55561117,26,1.07582156,0.5,0.000894347,0.04760756
1.55561117,26.5,1.07582156,0.5,0.000929131,0.047736216
1.55561117,27,1.07582156,0.5,0.000959913,0.047915347
1.55561117,27.5,1.07582156,0.5,0.001039331,0.04754562
1.55561117,28,1.07582156,0.5,0.001125696,0.047242157
1.55561117,28.5,1.07582156,0.5,0.001189373,0.04772449
1.55561117,29,1.07582156,0.5,0.001270185,0.047697272
1.55561117,29.5,1.07582156,0.5,0.001392392,0.046909343
1.55561117,30,1.07582156,0.5,0.001506952,0.046466034
1.55561117,30.5,1.07582156,0.5,0.001659129,0.046638697
1.55561117,31,1.07582156,0.5,0.001809385,0.046638053
1.55561117,31.5,1.07582156,0.5,0.001927558,0.046721958
1.55561117,32,1.07582156,0.5,0.002047382,0.046142854
1.55561117,32.5,1.07582156,0.5,0.002142852,0.046514012
1.55561117,33,1.07582156,0.5,0.002235787,0.047053
1.55561117,33.5,1.07582156,0.5,0.002297322,0.047963314
1.55561117,34,1.07582156,0.5,0.00234027,0.04905857
1.55561117,34.5,1.07582156,0.5,0.002409962,0.050029095
1.55561117,35,1.07582156,0.5,0.002457748,0.051819466
1.55561117,35.5,1.07582156,0.5,0.00248686,0.055701766
1.55561117,36,1.07582156,0.5,0.002886058,0.0658082
1.55561117,36.5,1.07582156,0.5,0.009427892,0.08484798
1.55561117,37,1.07582156,0.5,0.040978104,0.118717544
1.55561117,37.5,1.07582156,0.5,0.15929443,0.15090398
1.55561117,38,1.07582156,0.5,0.28805235,0.16171522
1.55561117,38.5,1.07582156,0.5,0.55914813,0.17521867
1.55561117,39,1.07582156,0.5,0.7843254,0.17983344
1.55561117,39.5,1.07582156,0.5,1.200752,0.1811071
1.55561117,40,1.07582156,0.5,1.5920076,0.18409742
1.55561117,40.5,1.07582156,0.5,1.9379984,0.18619756
1.55561117,41,1.07582156,0.5,2.2529619,0.18981399
1.55561117,41.5,1.07582156,0.5,2.624509,0.19357532
1.55561117,42,1.07582156,0.5,3.2016828,0.20057581
1.55561117,42.5,1.07582156,0.5,3.8425338,0.20481114
1.55561117,43,1.07582156,0.5,4.244271,0.20921406
1.55561117,43.5,1.07582156,0.5,4.6941943,0.21534413
